Identifier,Recipient Org:Name,Title,Recipient Org:Postal Code,Type,Description,Amount Awarded,Currency,Financial Year,Award Date,Beneficiary Location:Name,Funding Org:Identifier,Funding Org:Name,Data source,Last modified
360G-ACW-20050158,Antur Penllyn,Grant to Antur Penllyn (2005 ~ 2006),LL23 7SW,Capital (Lottery),"Development work to produce a public art strategy for the proposed Rural Life and Sculpture Centre, Bala.",9900,GBP,2005 ~ 2006,2006-03-31,North Wales\Dwyfor Meirionnydd,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051473,Apricot Theatre,Grant to Apricot Theatre (2005 ~ 2006),SA19 7UL,Organisations: Small,"Touring our newly devised production of The Tylwyth Teg from 31st August - 16th September 2006 and 1st-15th April 2007. We aim to attract new theatre goers, especially in the 15-30 bracket and tour to venues across south Wales, simultaneous running workshops for schools and colleges.",4800,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Carmarthen East & Dinefwr,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051365,Apricot Theatre,Grant to Apricot Theatre (2005 ~ 2006),SA19 7UL,Organisations: Training,"This course is specially tailored by the well respected practionaer Marie-Gabreille Rotie to meet the needs of our next production and to the personal interests of our cast members. As well as giving a grounding in the principles of Butoh dance technique vital to our new production, it aims to increase confidence, stage prescence and ensemble working amongst out cast.",1075,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Carmarthen East & Dinefwr,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050228,Arad Goch,Grant to Arad Goch (2005 ~ 2006),SY23 2NN,Annual Revenue,Annual Revenue 2005/06,310774,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20041454,Arad Goch,Grant to Arad Goch (2005 ~ 2006),SY23 2NN,Capital (Lottery),Building Work Stage E,140646,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050791,Arad Goch,Grant to Arad Goch (2005 ~ 2006),SY23 2NN,Welsh Government Direct Funding,National Assembly Direct Funding,190470,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050633,Arad Goch (Agor Drysau),Grant to Arad Goch (Agor Drysau) (2005 ~ 2006),SY23 2NN,Organisations: Small,Bid for the Assitej 2008 Conference.,4000,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050221,Archif Cerddoriaeth Draddodiadol Cymru,Grant to Archif Cerddoriaeth Draddodiadol Cymru (2005 ~ 2006),LL57 2DG,Annual Revenue,Annual Revenue 2005/2006,3414,GBP,2005 ~ 2006,2006-03-31,North Wales\Aberconwy,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050588,Archif Cerddoriaeth Draddodiadol Cymru,Grant to Archif Cerddoriaeth Draddodiadol Cymru (2005 ~ 2006),LL57 2DG,Organisations: Small,"In 2006, the centenary is celebrated of the establishment of the Welsh Folk Song Society based at the University of Wales (Bangor) in 1906 by Dr John Lloyd Williams, Mary Davies (London) and Lady Ruth Herbert Lewis. This project is a series of one-off events in Bangor and across Wales, to mark this special occasion in the history of our nation.",4320,GBP,2005 ~ 2006,2006-03-31,North Wales\Aberconwy,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050741,Artes Mundi Prize Limited,Grant to Artes Mundi Prize Limited (2005 ~ 2006),CF10 1BD,Annual Revenue,Annual Revenue 2005-06,20000,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Cardiff Central,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051208,Artes Mundi Prize Limited,Grant to Artes Mundi Prize Limited (2005 ~ 2006),CF10 1BD,Organisations: Small,"Artes Mundi intends to organise a conference in the context of its overall initiative in order to provide a particular opportunity to discuss and debate issues around presenting contemporary visual arts or creating platforms in places not perceived to be at the ""centre"". Contributions will be made by a number of the shortlisted artists as well as additionally invited speakers to reflect on: notions of collective cultural identity, how do we connect to the centre, what connects those places that are off centre, how do artists negotiate positioning etc.",4972,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Cardiff Central,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050318,Artis Community Cymuned,Grant to Artis Community Cymuned (2005 ~ 2006),CF37 2TH,Annual Revenue,Capacity Building Grants Non ESF,26641,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Rhondda,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050318,Artis Community Cymuned,Grant to Artis Community Cymuned (2005 ~ 2006),CF37 2TH,Annual Revenue,Annual Revenue 2005-2006,72491,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Rhondda,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051054,Artis Community Cymuned,Grant to Artis Community Cymuned (2005 ~ 2006),CF37 2TH,Organisations: Large,"RCTCA wishes to provide community art experiences, activities and creative learning opportunities engaging participants of all ages and abilities living in a variety of communities in RCT. The project will focus on reaching socially disadvantaged areas linked to the Welsh Assembly Government's Community First Areas and other deprived and isolated communities through the artform areas of Community Dance and Performance Art/Mixed media.",30500,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Rhondda,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051055,Artis Community Cymuned,Grant to Artis Community Cymuned (2005 ~ 2006),CF37 2TH,Organisations: Training,"RCTCA, a registered charity, proposes to host and manage the Laban Guild, Stage One, Community Dance Teachers Course. This will be a unique opportunity for participants to be trained to become teachers qualified to lead community dance classes for children, youth and adults, and also attain OCN accreditation at Level 3. This training initiative will be the first of its kind to be delivered in a Valleys context.",18108,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Rhondda,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050711,Arts & Business Cymru,Grant to Arts & Business Cymru (2005 ~ 2006),CF10 3BH,Organisations: Training,"The Professional Development Programmes, operating across Wales, bring business skills and experience to the arts in ways that are beneficial to both sectors. This advice not only provides significant managerial development for the arts organisations involved but also makes a significant contribution to developing individual arts managers.",40000,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Cardiff Central,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051347,Arts Alive,Grant to Arts Alive (2005 ~ 2006),NP8 1DG,Organisations: Large,"In This Place' will be a series of creative workshops and events celebrating and exploring how we relate to our environment. The project will take place in Crickhowell, Abergavenny and its neighbouring communities and will include creative opportunities for all ages and abilities.",18000,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Brecon & Radnorshire,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050230,Arts Care Gofal Celf,Grant to Arts Care Gofal Celf (2005 ~ 2006),SA31 1BS,Annual Revenue,Capacity Building Grants Non ESF,25000,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Carmarthen West & South Pemb,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050230,Arts Care Gofal Celf,Grant to Arts Care Gofal Celf (2005 ~ 2006),SA31 1BS,Annual Revenue,Annual Revenue 2005/06,55427,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Carmarthen West & South Pemb,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050232,Arts Connection / Cyswllt Celf,Grant to Arts Connection / Cyswllt Celf (2005 ~ 2006),SY22 5DR,Annual Revenue,Annual Revenue 2005/06,31703,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Montgomeryshire,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050729,Arts Connection / Cyswllt Celf,Grant to Arts Connection / Cyswllt Celf (2005 ~ 2006),SY22 5DR,Capital (Lottery),Updating computer equipment,6107,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Montgomeryshire,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051313,Arts Connection / Cyswllt Celf,Grant to Arts Connection / Cyswllt Celf (2005 ~ 2006),SY22 5DR,yy ESF/Obj 3,Objective 3 ESF Project,32500,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Montgomeryshire,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050731,Arts Network Conwy,Grant to Arts Network Conwy (2005 ~ 2006),LL24 0PD,Organisations: Small,"The project's aim is to stimulate awareness of, and involvement in, the rich variety of cultural activity across Conwy. ANC wishes to showcase and market nine days of intense cultural activity in September 2005 and a monthly calender of activities to include networking and events for artists, arts groups and other cultural activists. It wishes to develop and sustain greater levels of exchange, collaboration, mutual understanding and support between audiences, participants, artists and service providers alike.",1930,GBP,2005 ~ 2006,2006-03-31,North Wales\Dwyfor Meirionnydd,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050339,Arts Training Wales,Grant to Arts Training Wales (2005 ~ 2006),CF5 3EF,Annual Revenue,"Additional stafing to meet the need for increased marketing, client work and translation needs.

Supplementary Annual Revenue 2005/06",23500,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Cardiff West,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050339,Arts Training Wales,Grant to Arts Training Wales (2005 ~ 2006),CF5 3EF,Annual Revenue,Annual Revenue 2005/06,86950,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Cardiff West,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051468,Arts Training Wales,Grant to Arts Training Wales (2005 ~ 2006),CF5 3EF,Organisations: Training,Cyfartal is a partnership led by Arts Training Wales. It aims to develop opportunities for those who are currently under-represented in the arts including disabled and deaf artists and those from diverse cultural and social backgrounds. This is the first stage of its work.,5000,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Cardiff West,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050283,Audiences Wales,Grant to Audiences Wales (2005 ~ 2006),CF5 1QE,Annual Revenue,Supplementary Annual Revenue 2005-2006,17156,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Cardiff West,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050283,Audiences Wales,Grant to Audiences Wales (2005 ~ 2006),CF5 1QE,Annual Revenue,Annual Revenue 2005-2006,87844,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Cardiff West,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050656,Audiences Wales,Grant to Audiences Wales (2005 ~ 2006),CF5 1QE,Capital (Lottery),The purchase of hardware and software for the expanded audience development agency.,87508,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Cardiff West,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050783,Audiences Wales,Grant to Audiences Wales (2005 ~ 2006),CF5 1QE,Organisations: Large,"Gallery based audience development project aimed at raising sixth form students' awareness of the visual arts and ultimately encouraging gallery attendances. Young people across South and West Wales develop their own ideas in discussion with comic book artists, producing unique and high quality comic books, which are widely disseminated.",41668,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Cardiff West,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20040789,Audiences Wales,Grant to Audiences Wales (2005 ~ 2006),CF5 1QE,yy Sustainability Scheme,Sustainability 2004/05,144500,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Cardiff West,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051390,Aureus Publishing Ltd,Grant to Aureus Publishing Ltd (2005 ~ 2006),CF32 0TN,Organisations: Small,"Performing to the highest professional standard, Arcata Ensemble, which consists of players from the Orchestra of the WNO, presents an exciting programme of classical music from established repertoire to new works of contemporary Welsh composers. The Ensemble will enlighten its audience, promoting classical music to a wider audience in venues across Wales.",5000,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Vale of Glamorgan,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050234,Axisweb,Grant to Axisweb (2005 ~ 2006),LS2 7EY,Annual Revenue,Annual Revenue 2005/06,18777,GBP,2005 ~ 2006,2006-03-31,Outside Wales,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050896,Axisweb,Grant to Axisweb (2005 ~ 2006),LS2 7EY,Organisations: Large,"Online programmes that promote artists to increase the knowledge of contemporary art.

Open Frequency - new developments in contemporary art
Learning - a resource for students and teachers
Graduates - artists from MA courses
Public Realm - new projects in the public realm
Dialogue - critical writing on contemporary art
Artist event in Wales - debate subject of topical interest
Welsh language - translation of key documents
",29712,GBP,2005 ~ 2006,2006-03-31,Outside Wales,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050942,B10c,Grant to B10c (2005 ~ 2006),HR5 3NX,Organisations: Large,"To develop B10c's 2006/07 programme of activities which include a touring exhibition, development of festival, commissioning of new media art and the continuation of B10c's core services.",24134,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Brecon & Radnorshire,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051450,B10c,Grant to B10c (2005 ~ 2006),HR5 3NX,Organisations: Small,"The project would develop and introduce new online advocacy services to Bloc's current core services by providing resources, articles, blogging, links and downloads for providers and practitioners in the creative technology sector in Wales from Bloc's website.",5000,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Brecon & Radnorshire,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20041579,Ballet Cymru,Grant to Ballet Cymru (2005 ~ 2006),CF24 4DA,Organisations: Large,"Performance and workshop tour of Wales, with productions of ""Hamlet"" and ""A Midsummer Night's Dream"" and a programme of dance workshops, ballet workshops and masterclasses held in Theatres, Schools, Colleges and Community Centres. To be accompanied by educational work and the creation of a paid educational officer.",29960,GBP,2005 ~ 2006,2006-03-31,South Wales East\Newport West,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
