Financial Year,URN,Identifier,Recipient Org:Name,Title,Amount Awarded,Award Date,Currency,Grant Programme:Title,Main_Sport,Region,Local_Authority,Parliamentary_Constituency,Organisation Type,Funding Org:Identifier,Funding Org:Name,Data source,Last modified
2011/2012,2011000417,360G-ACW-2011000417,Heathrow School of Gymnastics and Dance Ltd,Employing acrobatic coach,13200,2011-04-07,GBP,Sportsmatch,Gymnastics,London,Hounslow,Feltham and Heston,Charity,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000418,360G-ACW-2011000418,Hayesbrook School,AMB Sport Futures,2000,2011-04-07,GBP,Sportsmatch,Association Football,South East,Tonbridge and Malling,Tonbridge and Malling,Other public sector statutory body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000421,360G-ACW-2011000421,Active Communities Network,Urban Stars Boxing (USB),67000,2011-05-20,GBP,Sportsmatch,Boxing,London,Southwark,Bermondsey and Old Southwark,Charity,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000433,360G-ACW-2011000433,Moseley Rugby Community Foundation,Sustainable Clubs,47000,2011-04-07,GBP,Sportsmatch,Rugby Union,West Midlands,Birmingham,"Birmingham, Selly Oak",Charity,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000437,360G-ACW-2011000437,st helens recs cricket club,Rise of the Recs,5438,2011-04-07,GBP,Sportsmatch,Cricket,North West,St. Helens,St Helens North,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000512,360G-ACW-2011000512, Broadstone Cricket Club,Coaching and playing,1700,2011-04-07,GBP,Sportsmatch,Cricket,South West,East Dorset,Mid Dorset and North Poole,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000528,360G-ACW-2011000528,Dorking Rugby Football Club Limited,Youth Development Project,4800,2011-04-07,GBP,Sportsmatch,Rugby Union,South East,Mole Valley,Mole Valley,Charity,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000547,360G-ACW-2011000547,Minehead Cricket Club,Cricket for all,9640,2011-04-07,GBP,Sportsmatch,Cricket,South West,West Somerset,Bridgwater and West Somerset,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000593,360G-ACW-2011000593,The Dorset Cricket Board Limited,Under 16 to 25 Cricket participation,2500,2011-05-20,GBP,Sportsmatch,Cricket,South West,Poole,Bournemouth West,Community Sports Network,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000638,360G-ACW-2011000638,Filton College,West of England Female Football Development project,31300,2011-08-11,GBP,Sportsmatch,Association Football,South West,South Gloucestershire,Filton and Bradley Stoke,Institute of further education,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000690,360G-ACW-2011000690,Norwich Cricket Club,Mobile Covers for Postwick Cricket Ground,5000,2011-04-07,GBP,Sportsmatch,Cricket,East of England,Broadland,Broadland,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000708,360G-ACW-2011000708,The Leeds United Foundation,Leeds United Ability Counts Programme (Disability Football),18000,2011-04-07,GBP,Sportsmatch,Association Football,Yorkshire and The Humber,Leeds,Elmet and Rothwell,Charity,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000735,360G-ACW-2011000735,English Table Tennis Association,Jack Petchey London Schools' Table Tennis Programme,46200,2011-04-07,GBP,Sportsmatch,Table Tennis,South East,Hastings,Hastings and Rye,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000790,360G-ACW-2011000790,Fields in Trust (National Playing Fields Association),Queen Elizabeth II Fields Challenge,90000,2011-12-09,GBP,Protecting Playing Fields,Multi Sports,London,Islington,Islington South and Finsbury,Charity,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000876,360G-ACW-2011000876,British Horse Driving Trials Association,Driving Back to Sport,15000,2011-09-20,GBP,Sportsmatch,Equestrian,East Midlands,South Derbyshire,South Derbyshire,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000905,360G-ACW-2011000905,Tring Park Cricket Club,Cricket for Schools in Tring & the surrounding villages,2250,2011-05-20,GBP,Sportsmatch,Cricket,East of England,Dacorum,South West Hertfordshire,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000921,360G-ACW-2011000921,Shenley Village Cricket Club,150th Anniversary development Projects,6880,2011-04-07,GBP,Sportsmatch,Cricket,East of England,Hertsmere,Hertsmere,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000922,360G-ACW-2011000922,Alveley Cricket Club,Alveley Junior Cricket Coaching,500,2011-05-20,GBP,Sportsmatch,Cricket,West Midlands,Shropshire,Ludlow,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000945,360G-ACW-2011000945,Sefton MBC,Active Workforce Sports Leagues,3588,2011-05-20,GBP,Sportsmatch,Multi Sports,North West,Sefton,Southport,Local Authority,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000949,360G-ACW-2011000949,Isle of Wight Cricket Board Ltd,Community Coaching,1000,2011-04-07,GBP,Sportsmatch,Cricket,South East,Isle of Wight,Isle of Wight,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000952,360G-ACW-2011000952,Dersingham Cricket Club,Dersingham CC Junior Cricket Development Programme,1175,2011-04-07,GBP,Sportsmatch,Cricket,East of England,King's Lynn and West Norfolk,North West Norfolk,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000974,360G-ACW-2011000974,Middlesbrough Football Academy (Eston) Limited,Premier League 4 Sport,7000,2011-07-01,GBP,Sportsmatch,Multi Sports,North East,Redcar and Cleveland,Redcar,Charity,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011000989,360G-ACW-2011000989,BADMINTON England,Higher Education Work Placements Yr 2,23970,2011-04-07,GBP,Sportsmatch,Badminton,South East,Milton Keynes,Milton Keynes South,National Governing Body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011001127,360G-ACW-2011001127,Moortown RUFC,Play Rugby!!,7000,2011-08-11,GBP,Sportsmatch,Rugby Union,Yorkshire and The Humber,Leeds,Leeds North East,Community Sports Network,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011001129,360G-ACW-2011001129,Essex County Cricket Club,Street20 Cricket,11560,2011-04-07,GBP,Sportsmatch,Cricket,East of England,Thurrock,Thurrock,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011001160,360G-ACW-2011001160,Norton and Stockton Ancients Football Club,Girls and Female Football,10055,2011-05-20,GBP,Sportsmatch,Association Football,North East,Stockton-on-Tees,Stockton North,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011001327,360G-ACW-2011001327,Suffolk Coastal District Council,Suffolk Sport CSP Funding 2011/2015,20000,2011-04-28,GBP,CSP Funding 2011/2015,Sport Participation and Capacity Building,East of England,Suffolk Coastal,Suffolk Coastal,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011001327,360G-ACW-2011001327,Suffolk Coastal District Council,Suffolk Sport CSP Funding 2011/2015,20000,2011-12-06,GBP,School Games,Sport Participation and Capacity Building,East of England,Suffolk Coastal,Suffolk Coastal,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011001330,360G-ACW-2011001330,Active Luton (Trust),Team Beds & Luton CSP Funding 2011/2015,20000,2011-04-28,GBP,CSP Funding 2011/2015,Sport Participation and Capacity Building,East of England,Luton,Luton South,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011001330,360G-ACW-2011001330,Active Luton (Trust),Team Beds & Luton CSP Funding 2011/2015,20000,2011-12-06,GBP,School Games,Sport Participation and Capacity Building,East of England,Luton,Luton South,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2011/2012,2011001332,360G-ACW-2011001332,Living Sport,Living Sport - CSP Funding 2011/2015,43500,2011-12-06,GBP,School Games,Sport Participation and Capacity Building,East of England,Huntingdonshire,North West Cambridgeshire,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
